y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
,,1,4,0,53,1.0,4.0,144.0,1.0,11,48.0,1,48.0,4.0,0.0
9722.22265625,10532.408203125,1,4,0,30,1.0,7.0,24.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,4,1,42,1.0,6.0,84.0,3.0,11,72.0,0,72.0,5.0,1.0
,,1,4,0,52,1.0,6.0,84.0,3.0,11,72.0,0,72.0,5.0,1.0
,,1,3,1,41,1.0,7.0,56.0,1.0,11,40.0,1,40.0,4.0,0.0
4131.9443359375,4456.0185546875,1,3,0,19,1.0,7.0,18.0,5.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,4323.26318359375,1,3,0,37,1.0,7.0,12.0,5.0,11,48.0,0,48.0,1.0,1.0
4618.0556640625,4901.6201171875,1,3,0,18,1.0,7.0,37.0,3.0,11,48.0,0,48.0,1.0,1.0
,,1,3,0,53,1.0,5.0,30.0,1.0,11,20.0,1,20.0,4.0,0.0
,,1,4,0,39,1.0,7.0,24.0,2.0,11,20.0,1,20.0,4.0,0.0
24305.5546875,26331.017578125,1,4,1,41,1.0,7.0,84.0,5.0,11,48.0,0,48.0,1.0,1.0
,,1,4,0,58,1.0,6.0,240.0,3.0,11,36.0,0,36.0,5.0,1.0
5055.5556640625,5055.5556640625,1,4,0,33,1.0,7.0,8.0,3.0,11,30.0,0,30.0,1.0,1.0
,,1,4,1,51,1.0,6.0,240.0,3.0,11,56.0,0,56.0,5.0,0.0
,,1,3,1,59,1.0,7.0,240.0,1.0,11,30.0,1,30.0,4.0,0.0
,,1,2,1,49,3.0,6.0,120.0,1.0,11,70.0,1,70.0,4.0,0.0
3586.12426757812,4131.24951171875,1,2,0,53,1.0,6.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
3825.19921875,3825.19921875,1,3,0,60,1.0,4.0,240.0,1.0,11,45.0,0,45.0,3.0,0.0
,,1,2,1,27,3.0,7.0,36.0,1.0,11,5.0,1,9.0,4.0,0.0
12460.0,12460.0,1,2,0,43,2.0,7.0,32.0,5.0,11,30.0,0,30.0,2.0,1.0
3791.66674804688,3791.66674804688,1,2,0,62,3.0,6.0,240.0,3.0,11,48.0,0,48.0,1.0,0.0
12444.4443359375,12444.4443359375,1,2,1,47,1.0,6.0,48.0,3.0,11,60.0,0,60.0,1.0,0.0
4666.66650390625,4666.66650390625,1,3,1,18,1.0,7.0,0.0,2.0,11,15.0,0,15.0,1.0,0.0
16333.3330078125,16333.3330078125,1,3,0,44,1.0,7.0,5.0,3.0,11,10.0,0,10.0,1.0,1.0
,,1,3,0,40,1.0,7.0,48.0,5.0,11,40.0,0,40.0,1.0,1.0
,,1,2,0,42,1.0,6.0,36.0,1.0,11,40.0,1,40.0,4.0,0.0
2333.33325195312,2333.33325195312,1,2,1,23,,6.0,3.0,2.0,11,80.0,0,80.0,1.0,0.0
8055.5556640625,8893.5185546875,1,3,1,38,1.0,5.0,42.0,5.0,11,84.0,0,84.0,1.0,1.0
3586.12426757812,3727.90673828125,1,3,1,22,1.0,6.0,24.0,5.0,11,48.0,0,48.0,1.0,1.0
